qid,query,n,앵커어,비율_구미,비율_2012,앵커언급률,비율_옴진리교,비율_도쿄,비율_1995,비율_구타,비율_2001,비율_미국,비율_우편,비율_스크리팔,비율_솔즈베리,비율_나발니,비율_2018,비율_후쿠시마,비율_체르노빌
Q01,불산 누출,363,구미 / 2012,0.3306,0.0606,0.3361,,,,,,,,,,,,,
Q04,황산 유출,254,구미 / 2012,0.0236,0.0,0.0236,,,,,,,,,,,,,
Q08,질산 누출,216,구미 / 2012,0.0139,0.0,0.0139,,,,,,,,,,,,,
Q03,염소 가스 누출,241,구미 / 2012,0.0207,0.0041,0.0249,,,,,,,,,,,,,
Q12,사린가스 공격,41,옴진리교 / 도쿄 / 1995 / 구타,,,0.5122,0.3171,0.3171,0.0488,0.1951,,,,,,,,,
Q14,탄저균 테러,309,2001 / 미국 / 우편,,,0.3819,,,,,0.0421,0.356,0.1877,,,,,,
Q19,노비촉,224,스크리팔 / 솔즈베리 / 나발니 / 2018,,,0.8973,,,,,,,,0.25,0.067,0.7902,0.0804,,
Q16,방사능 유출,2704,후쿠시마 / 체르노빌,,,0.449,,,,,,,,,,,,0.3768,0.1172
