sid,qid,block,query,ev_place,dom
S02202,Q27,비CBRN,테러 예고 글,,unknown
S02204,Q05,산업,화학공장 폭발,여수시 화치동,domestic
S02205,Q01,산업,불산 누출,포항시 남구,domestic
S02207,Q09,산업,유독가스 누출 대피,서천군 서천읍,domestic
S02211,Q04,산업,황산 유출 사고,제주시 용담동,domestic
S02215,Q07,산업,톨루엔 누출,대구 서구,domestic
S02221,Q29,비CBRN,공항 폭발물 신고,광주광역시,domestic
S02230,Q25,비CBRN,차량 돌진 테러,미국 라스베이거스,foreign
S02232,Q04,산업,황산 유출 사고,대구 서구 비산동,domestic
S02236,Q29,비CBRN,공항 폭발물 신고,프랑스 베르사유,foreign
S02238,Q25,비CBRN,차량 돌진 테러,파키스탄 카이베르파크툰크와주,foreign
S02241,Q29,비CBRN,공항 폭발물 신고,미국 포트로더데일,foreign
S02242,Q05,산업,화학공장 폭발,여수시 화치동,domestic
S02249,Q27,비CBRN,테러 예고 글,,unknown
S02253,Q09,산업,유독가스 누출 대피,인천 미추홀구 도화동,domestic
S02254,Q17,안보,더티밤,우크라이나 자포리자,foreign
S02262,Q26,비CBRN,폭발물 협박,청주시,domestic
S02263,Q08,산업,질산 누출,군산시 소룡동,domestic
S02269,Q18,안보,백색가루 신고,대구 수성구,domestic
S02281,Q09,산업,유독가스 누출 대피,화성시,domestic
S02284,Q25,비CBRN,차량 돌진 테러,영국 런던,foreign
S02285,Q09,산업,유독가스 누출 대피,서천군 서천읍,domestic
S02286,Q03,산업,염소 가스 누출,순천시 덕암동,domestic
S02288,Q21,비CBRN,폭발물 테러,이라크 바스라,foreign
S02291,Q21,비CBRN,폭발물 테러,수원시 영통구,domestic
S02292,Q22,비CBRN,사제폭탄,필리핀 타쿠롱시,foreign
S02295,Q03,산업,염소 가스 누출,의정부시 가능동,domestic
S02299,Q23,비CBRN,드론 공격,이란 테헤란,foreign
S02300,Q09,산업,유독가스 누출 대피,청주시,domestic
S02301,Q01,산업,불산 누출,포항시 남구,domestic
S02306,Q29,비CBRN,공항 폭발물 신고,인천국제공항,domestic
S02309,Q25,비CBRN,차량 돌진 테러,독일 마그데부르크,foreign
S02312,Q02,산업,암모니아 누출 사고,부산 서구,domestic
S02313,Q03,산업,염소 가스 누출,의정부시 가능동,domestic
S02314,Q16,안보,방사능 유출,우크라이나 체르노빌,foreign
S02316,Q26,비CBRN,폭발물 협박,서울 중구,domestic
S02318,Q29,비CBRN,공항 폭발물 신고,광주광역시,domestic
S02327,Q01,산업,불산 누출,포항시,domestic
S02328,Q29,비CBRN,공항 폭발물 신고,대구시,domestic
S02334,Q04,산업,황산 유출 사고,대구 서구,domestic
S02337,Q24,비CBRN,총기 난사,미국 버펄로,foreign
S02338,Q03,산업,염소 가스 누출,서울 성동구,domestic
S02339,Q18,안보,백색가루 신고,대구 수성구,domestic
S02341,Q26,비CBRN,폭발물 협박,서울시,domestic
S02343,Q09,산업,유독가스 누출 대피,여수시,domestic
S02345,Q26,비CBRN,폭발물 협박,인천시,domestic
S02356,Q27,비CBRN,테러 예고 글,,unknown
S02359,Q28,비CBRN,다중이용시설 테러,서울시,domestic
S02360,Q08,산업,질산 누출,군산시,domestic
S02362,Q25,비CBRN,차량 돌진 테러,영국 리버풀,foreign
S02363,Q04,산업,황산 유출 사고,단양군 매포읍,domestic
S02365,Q21,비CBRN,폭발물 테러,전국,domestic
S02368,Q04,산업,황산 유출 사고,대구 달성군,domestic
S02369,Q05,산업,화학공장 폭발,여수시,domestic
S02389,Q25,비CBRN,차량 돌진 테러,독일 베를린,foreign
S02393,Q25,비CBRN,차량 돌진 테러,독일 마그데부르크,foreign
S02395,Q24,비CBRN,총기 난사,호주 시드니,foreign
S02396,Q04,산업,황산 유출 사고,정읍시 북면,domestic
S02398,Q24,비CBRN,총기 난사,요르단강 서안,foreign
S02400,Q15,안보,북한 핵실험,북한,foreign
S02401,Q08,산업,질산 누출,경기도,domestic
S02412,Q26,비CBRN,폭발물 협박,성남시,domestic
S02416,Q08,산업,질산 누출,수원시,domestic
S02419,Q01,산업,불산 누출,화성시,domestic
S02420,Q26,비CBRN,폭발물 협박,성남시,domestic
S02421,Q04,산업,황산 유출 사고,여수시,domestic
S02422,Q02,산업,암모니아 누출 사고,서울 영등포구,domestic
S02423,Q24,비CBRN,총기 난사,호주 시드니,foreign
S02426,Q21,비CBRN,폭발물 테러,울산시,domestic
S02429,Q07,산업,톨루엔 누출,여수시,domestic
S02434,Q26,비CBRN,폭발물 협박,서울 영등포구,domestic
S02437,Q08,산업,질산 누출,군산시,domestic
S02438,Q09,산업,유독가스 누출 대피,청주시,domestic
S02443,Q25,비CBRN,차량 돌진 테러,파키스탄 카이버파크툰크와주,foreign
S02447,Q26,비CBRN,폭발물 협박,서울 영등포구,domestic
S02449,Q27,비CBRN,테러 예고 글,성남시,domestic
S02450,Q27,비CBRN,테러 예고 글,서울 영등포구,domestic
S02455,Q25,비CBRN,차량 돌진 테러,이스라엘 예루살렘,foreign
S02460,Q05,산업,화학공장 폭발,중국 랴오닝,foreign
S02462,Q21,비CBRN,폭발물 테러,레바논,foreign
S02468,Q15,안보,북한 핵실험,북한,foreign
S02476,Q27,비CBRN,테러 예고 글,서울 영등포구,domestic
S02481,Q01,산업,불산 누출,대전시,domestic
S02482,Q18,안보,백색가루 신고,부산 해운대구,domestic
S02483,Q26,비CBRN,폭발물 협박,서울 송파구,domestic
S02485,Q08,산업,질산 누출,제주시 영평동,domestic
S02486,Q03,산업,염소 가스 누출,군산시,domestic
S02487,Q01,산업,불산 누출,포항시,domestic
S02495,Q27,비CBRN,테러 예고 글,부산 동래구,domestic
S02498,Q24,비CBRN,총기 난사,호주 시드니,foreign
S02500,Q23,비CBRN,드론 공격,중동,domestic
S02501,Q15,안보,북한 핵실험,북한,foreign
S02502,Q27,비CBRN,테러 예고 글,서울 용산구,domestic
S02503,Q27,비CBRN,테러 예고 글,서울시,domestic
S02504,Q03,산업,염소 가스 누출,군산시,domestic
S02505,Q08,산업,질산 누출,안동시 임동면,domestic
S02506,Q05,산업,화학공장 폭발,군산시 소룡동,domestic
S02508,Q09,산업,유독가스 누출 대피,화성시 향남읍,domestic
S02509,Q06,산업,유해화학물질 유출,창원시,domestic
