seed,fold,model,acc,macro_f1,event_f1,event_prec,event_rec
0,0,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
0,0,base_random,0.18641114982578397,0.17001535153495995,0.2214765100671141,0.2894736842105263,0.1793478260869565
0,0,base_keyword,0.3362369337979094,0.1802195473425447,0.526595744680851,0.515625,0.5380434782608695
0,0,proposed_char_tb,0.7717770034843205,0.6836353671717733,0.8421052631578947,0.8587570621468926,0.8260869565217391
0,0,proposed@산업,0.8275862068965517,0.760368809000388,0.8918918918918919,,
0,0,proposed@안보,0.7070707070707071,0.5586615762072247,0.5625,,
0,0,proposed@비CBRN,0.7871287128712872,0.6920568836208048,0.850828729281768,,
0,0,abl_char_title,0.7229965156794426,0.6055592335933608,0.8285714285714286,0.8734939759036144,0.7880434782608695
0,0,abl_word_tb,0.7421602787456446,0.6194848012725591,0.8429752066115702,0.8547486033519553,0.8315217391304348
0,0,abl_char_tb_bk,0.7508710801393729,0.6417710578990068,0.8484848484848485,0.8603351955307262,0.8369565217391305
0,1,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
0,1,base_random,0.18292682926829268,0.1703818405556463,0.22666666666666666,0.29310344827586204,0.18478260869565216
0,1,base_keyword,0.3048780487804878,0.16281646236151479,0.47668393782383417,0.45544554455445546,0.5
0,1,proposed_char_tb,0.8048780487804879,0.7548874174575109,0.8864864864864865,0.8817204301075269,0.8913043478260869
0,1,proposed@산업,0.8529411764705882,0.6945686900048098,0.9325842696629213,,
0,1,proposed@안보,0.7361963190184049,0.6360915204904974,0.5185185185185185,,
0,1,proposed@비CBRN,0.8115942028985508,0.7908327514779128,0.896969696969697,,
0,1,abl_char_title,0.7560975609756098,0.6831077966669135,0.8502673796791443,0.8368421052631579,0.8641304347826086
0,1,abl_word_tb,0.7822299651567944,0.7295503190074688,0.8661417322834646,0.8375634517766497,0.8967391304347826
0,1,abl_char_tb_bk,0.8031358885017421,0.7561932660809865,0.894878706199461,0.8877005347593583,0.9021739130434783
0,2,base_majority,0.32111692844677137,0.09722589167767504,0.4861294583883752,0.32111692844677137,1.0
0,2,base_random,0.18848167539267016,0.16796036529152505,0.2895622895622896,0.3805309734513274,0.23369565217391305
0,2,base_keyword,0.3333333333333333,0.1783152040740228,0.5121293800539084,0.5080213903743316,0.5163043478260869
0,2,proposed_char_tb,0.7661431064572426,0.7114397657395183,0.8705234159779615,0.88268156424581,0.8586956521739131
0,2,proposed@산업,0.8609625668449198,0.8166692899914457,0.8982035928143712,,
0,2,proposed@안보,0.6666666666666666,0.537095258986283,0.6111111111111112,,
0,2,proposed@비CBRN,0.7669902912621359,0.6734033613445378,0.9,,
0,2,abl_char_title,0.6963350785340314,0.6264748195352264,0.814404432132964,0.8305084745762712,0.7989130434782609
0,2,abl_word_tb,0.7364746945898778,0.6287229954058926,0.862533692722372,0.8556149732620321,0.8695652173913043
